function,ncalls,tottime_s,cumtime_s
<method 'add' of 'set' objects> (~:0),1000,0.000079,0.000079
<method 'get' of 'dict' objects> (~:0),57610013,2.135809,2.135809
<method 'setdefault' of 'dict' objects> (~:0),432,0.000037,0.000037
<method 'items' of 'dict' objects> (~:0),451506,0.029998,0.029998
<method 'values' of 'dict' objects> (~:0),445094,0.027342,0.027342
<method 'append' of 'list' objects> (~:0),6869525,0.321044,0.321044
<method 'insert' of 'list' objects> (~:0),2004,0.000265,0.000265
<method 'extend' of 'list' objects> (~:0),3249,0.000349,0.000349
<method 'pop' of 'list' objects> (~:0),2491,0.000421,0.000421
<method 'sort' of 'list' objects> (~:0),974,0.000172,0.000172
<method 'join' of 'str' objects> (~:0),3318,0.000773,0.000773
<method 'find' of 'str' objects> (~:0),4,0.000001,0.000001
<method 'rfind' of 'str' objects> (~:0),12,0.000002,0.000002
<built-in method sys._getframe> (~:0),4,0.000001,0.000001
<built-in method builtins.any> (~:0),19310,0.003288,0.005691
<built-in method builtins.getattr> (~:0),1,0.000000,0.000000
<built-in method builtins.hasattr> (~:0),492510,0.021888,0.021888
<built-in method builtins.isinstance> (~:0),4008,0.000584,0.000584
<built-in method builtins.len> (~:0),3257932,0.138749,0.138749
<built-in method builtins.min> (~:0),452780,0.191410,0.386889
<built-in method builtins.next> (~:0),9170,0.001525,0.003846
<built-in method builtins.round> (~:0),4000,0.001605,0.001605
<built-in method builtins.sorted> (~:0),887766,0.558648,0.879582
<built-in method builtins.sum> (~:0),12455,0.011214,0.042539
basename (<frozen posixpath>:140),4,0.000005,0.000008
splitext (<frozen posixpath>:117),4,0.000004,0.000009
normcase (<frozen posixpath>:52),12,0.000003,0.000004
_get_sep (<frozen posixpath>:41),4,0.000001,0.000002
_splitext (<frozen genericpath>:121),4,0.000003,0.000005
<method 'acquire' of '_thread.RLock' objects> (~:0),9,0.000002,0.000002
<method 'release' of '_thread.RLock' objects> (~:0),9,0.000001,0.000001
<built-in method _thread.get_ident> (~:0),8,0.000001,0.000001
<built-in method posix.getpid> (~:0),4,0.000001,0.000001
<built-in method posix.fspath> (~:0),20,0.000001,0.000001
<method 'write' of '_io.TextIOWrapper' objects> (~:0),4,0.000016,0.000016
<method 'flush' of '_io.TextIOWrapper' objects> (~:0),4,0.000001,0.000001
<built-in method time.time> (~:0),4,0.000001,0.000001
<method 'fullmatch' of 're.Pattern' objects> (~:0),286450167,42.672360,42.672360
<built-in method math.isinf> (~:0),28415517,0.750284,0.750284
<built-in method _bisect.bisect_left> (~:0),2199,0.002203,0.003155
remove_job_from_waiting_queue (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:21),1000,0.000979,0.001041
format (/usr/lib/python3.11/logging/__init__.py:674),4,0.000004,0.000017
findCaller (/usr/lib/python3.11/logging/__init__.py:1561),4,0.000008,0.000022
_log (/usr/lib/python3.11/logging/__init__.py:1610),4,0.000009,0.000163
callHandlers (/usr/lib/python3.11/logging/__init__.py:1690),4,0.000005,0.000066
__init__ (/usr/lib/python3.11/logging/__init__.py:292),4,0.000026,0.000053
schedule (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:24),2491,0.054721,156.508581
proceed (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:170),2491,0.030745,0.308633
push_event (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:107),2324,0.002628,0.006204
advance (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:297),1678,0.009642,156.837868
switch_off (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:121),73,0.000475,0.002042
print_states_dur (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:98),1,0.000215,0.000286
build_callbacks (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:297),2491,0.042986,0.071692
_future_fcfs_plan (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:82),2491,0.992831,155.193684
_build_partitions (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:484),2491,0.052310,0.069929
_current_fcfs_commit (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:50),2491,0.006721,0.053957
_append_planned_compute (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:94),441603,0.754908,1.205538
