time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
300.0,0,0,0,123,5
300.0,0,0,119,4,5
321.0,0,0,119,8,1
328.0,0,0,119,8,1
328.0,0,0,119,7,2
337.0,0,0,119,8,1
367.0,0,0,119,9,0
432.0,0,0,119,9,0
432.0,0,0,122,6,0
455.0,0,0,122,6,0
455.0,0,0,122,5,1
490.0,0,0,122,5,1
494.0,0,0,122,5,1
571.0,0,0,122,6,0
576.0,0,0,122,6,0
621.0,0,0,122,6,0
621.0,0,0,125,3,0
637.0,0,0,125,3,0
637.0,0,0,126,2,0
667.0,0,0,126,2,0
667.0,0,0,127,1,0
871.0,0,0,127,1,0
871.0,0,0,128,0,0
1300.0,0,0,128,0,0
1307.0,0,0,128,0,0
1316.0,0,0,128,0,0
1326.0,0,0,128,0,0
1343.0,0,0,128,0,0
1535.0,0,0,128,0,0
1651.0,0,0,128,0,0
1795.0,0,0,128,0,0
1817.0,0,0,128,0,0
1906.0,0,0,128,0,0
1924.0,0,0,128,0,0
1927.0,0,0,128,0,0
2030.0,0,0,128,0,0
2100.0,119,0,9,0,0
2100.0,31,88,9,0,0
2232.0,34,88,6,0,0
2232.0,2,120,6,0,0
2349.0,2,120,6,0,0
2421.0,5,120,3,0,0
2437.0,6,120,2,0,0
2467.0,7,120,1,0,0
2671.0,8,120,0,0,0
2800.0,8,120,0,0,0
2846.0,8,120,0,0,0
2889.0,8,120,0,0,0
2953.0,8,120,0,0,0
3239.0,8,120,0,0,0
3252.0,8,120,0,0,0
3267.0,8,120,0,0,0
3968.0,8,120,0,0,0
4150.0,8,120,0,0,0
4161.0,8,120,0,0,0
4297.0,8,120,0,0,0
4800.0,8,32,0,88,0
4800.0,8,32,0,0,88
4834.0,8,32,0,1,87
4868.0,8,32,0,2,86
4932.0,8,0,0,34,86
4932.0,5,3,0,2,118
4945.0,5,3,0,10,110
4945.0,0,8,0,2,118
4953.0,0,8,0,10,110
4953.0,0,8,0,2,118
4970.0,0,8,0,4,116
4990.0,0,8,0,20,100
4990.0,0,8,0,4,116
4998.0,0,8,0,20,100
4998.0,0,8,0,4,116
5000.0,0,8,0,8,112
5000.0,0,8,0,4,116
5041.0,0,8,0,8,112
5044.0,0,8,0,8,112
5114.0,0,8,0,8,112
5134.0,0,8,0,8,112
5134.0,0,8,1,7,112
5138.0,0,8,1,9,110
5175.0,0,8,1,9,110
5272.0,0,8,1,41,78
5272.0,0,8,1,9,110
5274.0,0,8,1,9,110
5300.0,0,8,1,9,110
5450.0,0,8,1,9,110
5555.0,0,8,1,41,78
5555.0,0,8,1,1,118
5572.0,0,8,1,1,118
5587.0,0,8,1,1,118
5633.0,0,8,1,9,110
5633.0,0,8,1,1,118
5709.0,0,8,1,9,110
5709.0,0,8,1,1,118
5731.0,0,8,1,1,118
5778.0,0,8,1,9,110
5778.0,0,8,1,1,118
5815.0,0,8,1,1,118
5820.0,0,8,1,9,110
5820.0,0,8,1,1,118
5907.0,0,8,1,9,110
5921.0,0,8,1,25,94
5921.0,0,8,1,9,110
5947.0,0,8,1,41,78
5947.0,0,8,1,9,110
5956.0,0,8,1,11,108
5973.0,0,8,1,15,104
6007.0,0,8,1,31,88
6124.0,0,8,1,47,72
6124.0,0,8,1,15,104
6193.0,0,8,1,15,104
6193.0,0,8,1,11,108
6207.0,0,8,1,11,108
6221.0,0,8,1,11,108
6238.0,0,8,1,15,104
6247.0,0,8,1,15,104
6403.0,0,8,1,47,72
6403.0,0,8,1,15,104
6424.0,0,8,1,15,104
6675.0,0,8,1,15,104
6703.0,0,8,1,15,104
6703.0,0,8,15,1,104
6928.0,0,8,15,1,104
6934.0,1,8,14,1,104
6935.0,1,8,14,1,104
7007.0,1,8,14,1,104
7067.0,1,8,14,1,104
7111.0,1,8,14,33,72
7111.0,1,8,14,1,104
7125.0,1,8,14,1,104
7161.0,1,8,14,1,104
7168.0,1,8,14,1,104
7220.0,1,8,14,9,96
7220.0,0,9,14,9,96
7224.0,0,9,14,9,96
7267.0,0,9,14,9,96
7385.0,0,9,14,9,96
7388.0,0,9,14,9,96
7451.0,0,9,14,9,96
7520.0,0,9,14,9,96
7520.0,0,9,15,8,96
7556.0,0,9,15,8,96
7558.0,0,9,15,8,96
7632.0,0,6,15,11,96
7632.0,0,6,15,8,99
7645.0,0,1,15,13,99
7645.0,0,1,15,7,105
7651.0,0,1,15,8,104
7673.0,0,1,15,10,102
7683.0,0,1,15,14,98
7698.0,0,1,15,14,98
7709.0,0,1,15,15,97
7709.0,0,1,15,7,105
7786.0,0,1,15,8,104
7801.0,0,1,15,16,96
7801.0,0,1,15,8,104
7822.0,0,1,15,8,104
7822.0,0,1,15,7,105
7877.0,0,1,15,8,104
7892.0,0,1,15,8,104
7892.0,0,1,15,7,105
7917.0,0,1,15,8,104
7923.0,0,1,15,8,104
7930.0,0,1,15,16,96
7930.0,0,1,15,8,104
7945.0,0,1,15,8,104
7951.0,0,1,15,8,104
7987.0,0,1,15,40,72
7987.0,0,1,15,8,104
8003.0,0,1,15,16,96
8003.0,0,1,15,8,104
8010.0,0,1,15,8,104
8010.0,0,1,15,7,105
8013.0,0,1,15,8,104
8086.0,0,1,15,8,104
8101.0,0,1,15,8,104
8177.0,0,1,15,8,104
8213.0,0,1,15,40,72
8213.0,0,1,15,8,104
8217.0,0,1,15,8,104
8230.0,0,1,15,8,104
8254.0,0,1,15,40,72
8254.0,0,1,15,8,104
8287.0,0,1,15,8,104
8303.0,0,1,15,8,104
8313.0,0,1,15,8,104
8466.0,0,1,15,8,104
8480.0,0,1,15,40,72
8480.0,0,1,15,8,104
8503.0,14,1,1,8,104
8513.0,14,1,1,8,104
8554.0,14,1,1,8,104
8596.0,14,1,1,40,72
8596.0,14,1,1,8,104
8725.0,14,1,1,40,72
8725.0,6,9,1,8,104
8772.0,6,9,1,8,104
8780.0,6,9,1,8,104
8795.0,6,9,1,8,104
8831.0,6,9,1,8,104
8852.0,6,9,1,8,104
8878.0,6,9,1,40,72
8878.0,6,9,1,8,104
8894.0,6,9,1,16,96
8894.0,6,9,1,8,104
8896.0,6,9,1,8,104
8930.0,6,9,1,16,96
8930.0,6,9,1,8,104
8937.0,6,9,1,16,96
8937.0,0,15,1,8,104
8968.0,0,15,1,16,96
8968.0,0,15,1,8,104
8991.0,0,15,1,16,96
8991.0,0,15,1,10,102
9002.0,0,15,1,18,94
9002.0,0,15,1,12,100
9003.0,0,15,1,12,100
9003.0,0,15,1,10,102
9007.0,0,15,1,12,100
9023.0,0,15,1,14,98
9025.0,0,15,1,14,98
9030.0,0,15,1,18,94
9036.0,0,15,1,26,86
9047.0,0,15,1,26,86
9047.0,0,15,1,22,90
9051.0,0,15,1,30,82
9078.0,0,15,1,32,80
9085.0,0,15,1,36,76
9098.0,0,15,1,36,76
9098.0,0,15,1,32,80
9099.0,0,15,1,36,76
9121.0,0,15,1,36,76
9121.0,0,15,1,34,78
9137.0,0,15,1,34,78
9137.0,0,15,1,26,86
9144.0,0,15,1,32,80
9178.0,0,15,1,32,80
9182.0,0,15,1,40,72
9194.0,0,15,1,40,72
9196.0,0,15,1,40,72
9196.0,0,15,1,38,74
9208.0,0,15,1,38,74
9208.0,0,15,1,34,78
9230.0,0,15,1,34,78
9233.0,0,15,1,34,78
9233.0,0,15,1,32,80
9237.0,0,15,1,32,80
9240.0,0,15,1,32,80
9240.0,0,15,1,24,88
9265.0,0,15,1,26,86
9268.0,0,15,1,26,86
9291.0,0,15,1,26,86
9302.0,0,15,1,26,86
9307.0,0,15,1,26,86
9320.0,1,15,0,26,86
9327.0,1,15,0,34,78
9330.0,1,15,0,34,78
9336.0,1,15,0,34,78
9351.0,1,15,0,34,78
9381.0,1,15,0,34,78
9381.0,1,15,0,26,86
9399.0,1,15,0,26,86
9421.0,1,15,0,34,78
9444.0,1,15,0,34,78
9444.0,1,15,1,33,78
9451.0,1,15,1,33,78
9451.0,1,15,1,25,86
9482.0,1,15,1,25,86
9530.0,1,15,1,33,78
9541.0,1,15,1,33,78
9541.0,1,15,1,32,79
9545.0,1,15,1,33,78
9565.0,1,15,1,33,78
9565.0,1,15,1,25,86
9569.0,1,15,1,25,86
9569.0,1,15,1,9,102
9572.0,1,15,1,9,102
9572.0,1,15,1,8,103
9581.0,1,15,1,12,99
9588.0,1,15,1,14,97
9594.0,1,15,1,14,97
9594.0,1,15,1,10,101
9614.0,1,15,1,11,100
9627.0,1,15,1,11,100
9632.0,1,15,1,11,100
9632.0,1,15,1,9,102
9636.0,1,15,1,13,98
9661.0,1,15,1,15,96
9668.0,1,15,1,23,88
9750.0,1,15,1,23,88
9750.0,1,15,1,19,92
9758.0,1,15,1,19,92
9758.0,1,15,1,18,93
9775.0,1,15,1,19,92
9780.0,1,15,1,19,92
9780.0,1,15,1,17,94
9819.0,1,15,1,33,78
9830.0,1,15,1,33,78
9845.0,1,15,1,33,78
9881.0,1,15,1,33,78
9887.0,1,15,1,37,74
9888.0,1,15,1,37,74
9892.0,1,15,1,37,74
9892.0,1,15,1,29,82
9897.0,1,15,1,39,72
9899.0,1,15,1,39,72
9899.0,1,15,1,23,88
9920.0,1,14,1,24,88
9920.0,1,14,1,16,96
9936.0,1,14,1,16,96
9961.0,1,14,1,16,96
9968.0,1,14,1,16,96
9995.0,1,14,1,32,80
10006.0,1,14,1,40,72
10119.0,1,14,1,40,72
10119.0,1,14,3,38,72
10146.0,1,14,3,38,72
10146.0,1,14,3,30,80
10175.0,1,14,3,30,80
10175.0,1,14,3,29,81
10187.0,1,14,3,29,81
10197.0,1,14,3,29,81
10197.0,1,14,8,24,81
10216.0,1,14,8,25,80
10227.0,1,14,8,33,72
10231.0,1,14,8,33,72
10231.0,1,14,8,32,73
10255.0,1,14,8,33,72
10265.0,1,14,8,33,72
10265.0,1,14,8,29,76
10290.0,1,14,8,29,76
